text,true_label,category,sentence_id
1: I can't bear the thought of your torture. Take it!,1,Manipulative,S44
"1: What happens if you tell Mom and Dad about this, Samantha?
",1,Manipulative,S45
"1: Well, promise then.
",1,Manipulative,S46
"1: You're damn right it's not like that! Because I won't let it be like that! You want your flirt? Fine! The flirt is yours!
",1,Manipulative,S47
"1: Yeah, forget about your license. I plant my own flag out here, you ain't gonna need a license.  You know, I don't know what it is, Sammy, but the more I talk to you, the more I feel like you just don't wanna go along with me, is that it?
",1,Manipulative,S48
"2: No. We won't. I have climbed it a time or two before, and I know all the places to step. Just follow me...move easy...don't look down...and don't stop. If you stop, you'll crash through for sure.
",1,Manipulative,S49
"1: Have it your way, Mr. Venkman.
",0,Non-Manipulative,S50
"1: I don't know how to make her funny.
",0,Non-Manipulative,S51
"1: When there is, you can forget about it. And I swear to God, you ever talk about my daddy again I'm gonna kick your bank-telling, loan-denying ass, you got me?
",0,Non-Manipulative,S52
"1: Jefferson City?
",0,Non-Manipulative,S53
"1: Watchers?
",0,Non-Manipulative,S54
"2: What?
",0,Non-Manipulative,S55
"2: Well Daddy and I were thinking that sometimes people tell a story about what they wish would happen.
",0,Non-Manipulative,S56
"1: Every time we discuss our plans, you mention that one time I changed our holiday destination.
",0,Non-Manipulative,S57
"1: Karen, I've been with the Bureau fifteen years, on all kinds of investigations.
",0,Non-Manipulative,S58
"1: Okay.  Then I'll go.
",0,Non-Manipulative,S59
"2: What?
",0,Non-Manipulative,S60
"2: People hate Jews. Do you agree?
",0,Non-Manipulative,S61
"2: Kill me, you jerk, kill me.
",0,Non-Manipulative,S62
"1: It said in the paper he drowned in a swimming pool.  In Newport.
",0,Non-Manipulative,S63
"2: Rave parties?!  That's so typical - you would think it was called rage.  Perfect!
",0,Non-Manipulative,S64
"1: When?  Where?
",0,Non-Manipulative,S65
"1: You have no feelings for your niece?
",0,Non-Manipulative,S66
"2: No.  I was being unrealistic. Even thinking about living this life.
",0,Non-Manipulative,S67
"2: And that is?
",0,Non-Manipulative,S68
"2: How hard can it be? I punched the crap out of that thing that he sent -- ouch!!
",0,Non-Manipulative,S69
"1: That's the why.  That's the why? There is no reason.  No good reason; no bad reason.  To live or to die.
",0,Non-Manipulative,S70
"2: Good.
",0,Non-Manipulative,S71
"2: I caught up with Lednov in Nogales. He didn't like the idea of comin' back across the border but he came. I turned him over to the sheriff and -- that's the story.
",0,Non-Manipulative,S72
"2: Yes, sir.
",0,Non-Manipulative,S73
"1: No, I'm serious.  You know what Kurt Potter is?  He's the kind of guy who never would have taken this case in the first place. He's the kind of guy who would have sold these plaintiffs down the river when PG&E offered 20 million.  He doesn't work like us, Ed.  There's no little voice in his head telling him to do the right thing.",0,Non-Manipulative,S74
"2: Yes, boss.",0,Non-Manipulative,S75
"2: I'm thirteen. And I have a natural curiosity. It's only nature, Rose, that's all. Now what's wrong with nature, huh?
",0,Non-Manipulative,S76
"1: All right, you get your dresses hanging out and... change those wet shoes, and I'll come for you soon as it's ready...  ...with my trusty umbrella.",0,Non-Manipulative,S77
"1: He's all right.
",0,Non-Manipulative,S78
"1: Alright, now tell me. What is it?
",0,Non-Manipulative,S79
"2: You're crazy!  I'm not gonna jump!
",0,Non-Manipulative,S80
"2: Mama!
",0,Non-Manipulative,S81
"2: When you were in that sub -- and that squid was attacking you -- are you sure it was the squid that was attacking?  Do you know?  I can't get Beth on the radio.  I'm in this tiny sub on the bottom of the ocean.  All alone.  Surrounded by all this water. Was it really the squid that was attacking you, Norman -- or was it something else -- one of your fears?  You never really saw what it was, did you?",0,Non-Manipulative,S82
"2: Well of course I'd want to give her that.  I mean, what do you think, I don't care about her?
",0,Non-Manipulative,S83
"2: Talk about what, Patrick? What is there to talk about?
",0,Non-Manipulative,S84
"1: Are you crazy? What's wrong with that?
",0,Non-Manipulative,S85
"1: How long have you been a hit man?
",0,Non-Manipulative,S86
"1: Yes or no, Mr. Barnes?",0,Non-Manipulative,S87
"2: Aye-aye, captain.
",0,Non-Manipulative,S88
"1: Well, my parents are against it, and I know it's my choice, but I was wondering... What would you do if you were me ?
",0,Non-Manipulative,S89
"1: This was my first classroom, John, did you know that?  My first desk.
",0,Non-Manipulative,S90
"2: To cover up?
",0,Non-Manipulative,S91
"2: I don't feel anything.
",0,Non-Manipulative,S92
"2: Why do men chase women?
",0,Non-Manipulative,S93
"2: Sure, Dave, what's up?
",0,Non-Manipulative,S94
"1: To you?
",0,Non-Manipulative,S95
"1: Harry, that boy doesn't know his arsehole from his ear-hole, or you from a hoodwink. This bar is mine, and he has nothing to do with it.
",0,Non-Manipulative,S96
"1: Maybe I can help. Let's see... if one night I got up and packed up all my things and drove away without leaving so much as a note, and stayed away for months, I think what I'd want to do is come up with a well thought-out reason.
",0,Non-Manipulative,S97
"2: Yes... it's a test.
",0,Non-Manipulative,S98
"1: He was.  Ray's with the F.B.I. now, he switched over.
",0,Non-Manipulative,S99
